champion,position,0,rank
Akali,MIDDLE,,platinum
Neeko,MIDDLE,,platinum
Darius,TOP,,platinum
Gwen,MIDDLE,,platinum
Neeko,MIDDLE,,platinum
Varus,BOTTOM,,platinum
Draven,BOTTOM,,platinum
Veigar,BOTTOM,,platinum
Lucian,BOTTOM,,platinum
Lucian,BOTTOM,,platinum
Lucian,BOTTOM,,platinum
MissFortune,BOTTOM,,platinum
Vayne,BOTTOM,,platinum
Samira,BOTTOM,,platinum
Xayah,BOTTOM,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Karma,UTILITY,,platinum
Pyke,UTILITY,,platinum
Heimerdinger,UTILITY,,platinum
Draven,BOTTOM,,platinum
Draven,BOTTOM,,platinum
Draven,BOTTOM,,platinum
Draven,BOTTOM,,platinum
Ashe,BOTTOM,,platinum
Draven,BOTTOM,,platinum
,,,platinum
Darius,TOP,,platinum
Garen,TOP,,platinum
Warwick,TOP,,platinum
Leona,UTILITY,,platinum
Gnar,TOP,,platinum
Olaf,TOP,,platinum
Yasuo,MIDDLE,,platinum
Sylas,MIDDLE,,platinum
Lillia,MIDDLE,,platinum
Yasuo,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Gangplank,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Gangplank,MIDDLE,,platinum
Xayah,BOTTOM,,platinum
Gangplank,MIDDLE,,platinum
Caitlyn,BOTTOM,,platinum
Ekko,MIDDLE,,platinum
Caitlyn,BOTTOM,,platinum
Darius,TOP,,platinum
Briar,TOP,,platinum
Briar,TOP,,platinum
Samira,BOTTOM,,platinum
,,,platinum
,,,platinum
Darius,TOP,,platinum
Darius,TOP,,platinum
Briar,JUNGLE,,platinum
Briar,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Jhin,BOTTOM,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Gangplank,TOP,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Neeko,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
LeeSin,JUNGLE,,platinum
Veigar,MIDDLE,,platinum
Veigar,MIDDLE,,platinum
Malphite,TOP,,platinum
Veigar,MIDDLE,,platinum
Orianna,MIDDLE,,platinum
Veigar,MIDDLE,,platinum
Ahri,MIDDLE,,platinum
Fizz,MIDDLE,,platinum
Garen,MIDDLE,,platinum
,,,platinum
Garen,MIDDLE,,platinum
Malzahar,MIDDLE,,platinum
Garen,MIDDLE,,platinum
Garen,MIDDLE,,platinum
Garen,MIDDLE,,platinum
Garen,MIDDLE,,platinum
Garen,MIDDLE,,platinum
Evelynn,JUNGLE,,platinum
