"win","kills","deaths","dmgObj","dmgTurr","vision_score","totalDmg","totalDmgTaken","totalMinions","gold","position","time"
TRUE,4,3,5971,3509,28,144220,11875,202,10737,"BOTTOM",23.05
TRUE,1,2,4771,2142,70,25722,10823,41,7679,"UTILITY",23.05
TRUE,1,5,5724,2182,14,105887,17903,178,8942,"TOP",23.7
TRUE,4,4,42523,2080,24,183590,26732,40,10220,"JUNGLE",23.7
TRUE,5,3,8082,1710,21,115036,21668,186,10125,"MIDDLE",23.7
TRUE,8,3,12285,6764,17,137557,19426,194,13307,"BOTTOM",23.7
TRUE,9,1,8233,6003,55,58364,15676,32,11684,"UTILITY",23.7
FALSE,2,5,4338,1527,27,120071,17959,219,9507,"TOP",23.7
FALSE,6,4,828,548,11,106607,16435,160,8756,"MIDDLE",23.7
FALSE,3,8,13204,0,19,157761,32444,19,9151,"JUNGLE",23.7
FALSE,4,4,1453,474,26,111497,19005,174,9160,"BOTTOM",23.7
FALSE,1,6,137,0,37,17730,20097,23,5414,"UTILITY",23.7
FALSE,6,6,4859,2733,10,144655,31799,220,11647,"TOP",29.3
FALSE,7,7,14386,0,22,175010,28689,23,10666,"JUNGLE",29.3
FALSE,7,8,594,594,19,134503,24598,203,11928,"MIDDLE",29.3
FALSE,0,6,214,0,13,132958,16045,196,8693,"BOTTOM",29.3
FALSE,1,6,211,211,66,20723,19404,34,7011,"UTILITY",29.3
TRUE,13,3,9832,5703,36,118941,33603,158,14731,"TOP",29.3
TRUE,9,3,60668,1427,14,347049,32894,76,18065,"JUNGLE",29.3
TRUE,7,5,9601,7046,20,146279,29006,196,13120,"MIDDLE",29.3
TRUE,4,5,21720,2972,36,153674,17877,209,12407,"BOTTOM",29.3
TRUE,0,5,5023,670,84,43616,14227,26,8481,"UTILITY",29.3
FALSE,9,4,9784,2890,20,169000,36868,210,13160,"TOP",27.4666666666667
FALSE,9,9,21003,0,16,186757,26886,10,11594,"JUNGLE",27.4666666666667
FALSE,6,9,704,0,7,110342,23393,149,10577,"MIDDLE",27.4666666666667
FALSE,7,8,3641,2649,16,106345,19489,181,11683,"BOTTOM",27.4666666666667
FALSE,0,10,645,0,64,23160,21461,35,6748,"UTILITY",27.4666666666667
TRUE,7,5,15844,3838,21,140061,27385,185,13041,"TOP",27.4666666666667
TRUE,11,7,43085,4820,15,229479,22662,43,15218,"JUNGLE",27.4666666666667
TRUE,3,7,23308,8105,11,169240,20238,201,11807,"MIDDLE",27.4666666666667
TRUE,16,5,20796,7203,33,146741,15624,176,15453,"BOTTOM",27.4666666666667
TRUE,3,7,1242,879,76,23592,24349,35,9355,"UTILITY",27.4666666666667
TRUE,6,4,21142,7244,16,175291,25453,180,12054,"TOP",27.8166666666667
TRUE,7,2,56063,877,17,276092,30499,47,13084,"JUNGLE",27.8166666666667
TRUE,9,4,11345,9072,21,207556,18560,217,14937,"MIDDLE",27.8166666666667
TRUE,7,4,4545,2039,12,139203,14820,208,12625,"BOTTOM",27.8166666666667
TRUE,2,4,1428,472,57,22114,12474,37,8346,"UTILITY",27.8166666666667
FALSE,4,8,2203,1321,15,137463,26066,197,10902,"TOP",27.8166666666667
FALSE,1,5,8472,0,17,150457,13409,26,8201,"JUNGLE",27.8166666666667
FALSE,7,7,645,645,17,133668,26365,174,11461,"BOTTOM",27.8166666666667
FALSE,4,5,3675,3585,8,129073,30640,215,11840,"MIDDLE",27.8166666666667
FALSE,2,6,151,151,72,56536,17746,38,7946,"UTILITY",27.8166666666667
TRUE,5,0,6790,4853,14,105562,20288,188,9572,"TOP",20.9
TRUE,4,3,19011,1100,18,108299,18987,8,9178,"JUNGLE",20.9
TRUE,7,4,7063,2214,11,95832,13052,152,9554,"MIDDLE",20.9
TRUE,13,5,16186,6411,11,100336,14792,122,11232,"BOTTOM",20.9
TRUE,3,2,7645,177,47,21659,10455,9,6818,"UTILITY",20.9
FALSE,5,6,22946,0,22,140239,25252,21,9198,"JUNGLE",20.9
FALSE,0,8,1078,748,11,62526,16935,124,6492,"TOP",20.9
FALSE,5,4,2202,861,6,109955,14988,174,10342,"MIDDLE",20.9
FALSE,1,6,1422,858,12,69280,15375,159,7666,"BOTTOM",20.9
FALSE,3,8,2145,1632,38,25705,16873,7,6956,"UTILITY",20.9
FALSE,3,4,3717,3717,11,101631,27424,162,9889,"TOP",22.6
FALSE,7,4,5537,0,27,97793,27579,7,9694,"JUNGLE",22.6
FALSE,3,5,6356,2182,8,125656,19585,190,9105,"MIDDLE",22.6
FALSE,3,10,3227,3227,11,89083,18554,130,8416,"BOTTOM",22.6
FALSE,1,10,321,0,56,12839,16480,22,5544,"JUNGLE",22.6
TRUE,1,5,5000,2746,21,128817,19377,208,9774,"TOP",22.6
TRUE,4,3,40381,610,17,216768,24805,20,9077,"JUNGLE",22.6
TRUE,11,5,3388,3388,13,130138,15074,182,12222,"MIDDLE",22.6
TRUE,16,1,21796,9659,13,156928,12889,169,15256,"BOTTOM",22.6
TRUE,1,3,2617,1644,53,12862,11819,10,8428,"UTILITY",22.6
TRUE,10,4,8573,8573,10,120631,22186,173,12175,"TOP",22.1333333333333
TRUE,11,1,24198,700,15,161057,28619,12,12701,"JUNGLE",22.1333333333333
TRUE,9,4,5494,5494,23,131253,25085,190,12770,"MIDDLE",22.1333333333333
TRUE,11,5,10612,2498,7,89572,15023,123,10959,"BOTTOM",22.1333333333333
TRUE,2,7,943,943,57,34690,14545,38,7622,"UTILITY",22.1333333333333
FALSE,3,9,0,0,9,67875,25193,131,7317,"TOP",22.1333333333333
FALSE,1,7,10024,0,20,116309,25358,29,7730,"JUNGLE",22.1333333333333
FALSE,2,10,3172,0,4,69934,20691,101,6401,"MIDDLE",22.1333333333333
FALSE,7,8,794,301,11,69389,22612,118,9171,"BOTTOM",22.1333333333333
FALSE,8,9,5181,883,42,55435,18001,43,9589,"UTILITY",22.1333333333333
FALSE,1,1,0,0,0,4093,2197,14,1729,"TOP",6.23333333333333
FALSE,0,1,1414,0,3,21381,4026,2,1777,"JUNGLE",6.23333333333333
FALSE,1,1,23,23,3,11666,1515,48,2305,"MIDDLE",6.23333333333333
FALSE,0,1,65,65,3,7956,1701,36,1889,"BOTTOM",6.23333333333333
FALSE,1,1,112,112,2,6002,1591,3,1896,"UTILITY",6.23333333333333
TRUE,2,1,1087,1087,0,15379,3129,48,2988,"TOP",6.23333333333333
TRUE,1,0,1430,0,3,36768,3739,0,2364,"JUNGLE",6.23333333333333
TRUE,0,0,612,612,1,14191,1671,47,2291,"MIDDLE",6.23333333333333
TRUE,2,1,0,0,2,14464,1686,37,2393,"BOTTOM",6.23333333333333
TRUE,0,1,0,0,3,5156,1434,0,1537,"UTILITY",6.23333333333333
FALSE,1,4,1197,1197,5,56303,7638,126,5367,"TOP",15.95
FALSE,2,8,2650,0,6,67377,17165,14,5127,"JUNGLE",15.95
FALSE,0,2,0,0,8,52636,9931,103,4670,"MIDDLE",15.95
FALSE,4,4,113,113,4,40765,6747,114,6431,"BOTTOM",15.95
FALSE,2,4,0,0,18,11824,9767,23,5501,"UTILITY",15.95
TRUE,6,0,1234,1234,7,73521,4235,151,8051,"TOP",15.95
TRUE,3,1,27930,0,13,120446,13131,15,7087,"JUNGLE",15.95
TRUE,2,3,2000,647,6,91759,10822,149,6349,"MIDDLE",15.95
TRUE,10,2,1218,1134,2,47253,7507,118,9215,"BOTTOM",15.95
TRUE,1,3,0,0,30,13880,7491,22,4699,"UTILITY",15.95
FALSE,4,9,5857,3540,12,123321,34841,193,12395,"TOP",30.1666666666667
FALSE,4,7,45258,119,27,193218,43778,21,11318,"JUNGLE",30.1666666666667
FALSE,5,10,5373,2548,14,124603,23171,181,11268,"MIDDLE",30.1666666666667
FALSE,10,8,13497,2768,14,192660,20135,219,13791,"BOTTOM",30.1666666666667
FALSE,2,10,361,0,73,24899,29300,31,8286,"UTILITY",30.1666666666667
TRUE,6,5,14150,2328,18,105253,28525,160,12276,"TOP",30.1666666666667
