win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
True,12,10,25163,14125,21,245504,41185,252,18540,TOP,33.733333333333334,,gold
False,4,10,3907,3907,11,123982,28198,165,8953,TOP,23.783333333333335,,gold
True,9,5,16927,3856,15,149147,21682,157,11913,TOP,26.616666666666667,,gold
True,13,11,3402,835,11,150930,38772,154,13651,TOP,30.583333333333332,,gold
True,18,6,27369,14137,11,207855,32304,206,15586,TOP,24.45,,gold
True,23,9,9330,7080,17,220399,43029,188,18366,TOP,28.3,,gold
True,16,3,52007,1721,40,297247,33473,53,18343,JUNGLE,32.46666666666667,,gold
True,8,5,46834,1794,25,273285,43230,29,18189,JUNGLE,36.53333333333333,,gold
True,11,10,15146,919,16,194469,37411,13,14358,JUNGLE,31.516666666666666,,gold
True,7,4,22384,1043,30,252293,28830,42,14571,JUNGLE,33.25,,gold
False,2,4,2007,249,12,76142,16237,129,7349,TOP,24.633333333333333,,gold
True,10,6,4260,4260,26,245329,54790,271,18064,TOP,39.916666666666664,,gold
False,1,3,7048,0,14,183720,21144,70,9723,JUNGLE,28.083333333333332,,gold
True,11,5,4262,4262,20,126131,23459,166,12475,TOP,28.1,,gold
False,5,5,3994,2460,11,100816,18875,160,9089,TOP,22.766666666666666,,gold
False,2,10,1508,0,18,95243,24161,14,7487,JUNGLE,24.1,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
True,6,4,9685,7671,19,146563,18542,184,10970,TOP,24.916666666666668,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
True,6,1,36094,16113,23,186162,16262,200,13742,TOP,25.05,,gold
True,7,0,11826,11432,21,144205,11303,186,12648,TOP,19.666666666666668,,gold
True,15,1,32153,11545,12,191305,25358,209,16641,TOP,26.433333333333334,,gold
True,9,2,17911,11590,23,204543,18914,187,15114,TOP,28.183333333333334,,gold
True,6,2,7778,7778,13,118134,13097,150,10198,TOP,18.9,,gold
False,4,4,6573,5586,15,238679,30495,256,13294,TOP,28.133333333333333,,gold
False,0,0,0,0,0,305,0,0,500,TOP,1.7833333333333334,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
True,4,7,11837,1706,60,63329,19865,37,11159,UTILITY,34.166666666666664,,gold
,,,,,,,,,,,,,gold
False,0,4,2350,0,39,20250,11565,23,5859,UTILITY,28.1,,gold
True,7,5,12663,2984,66,49363,16944,31,10453,UTILITY,32.15,,gold
True,1,0,0,0,3,2618,1088,4,1913,UTILITY,7.0,,gold
,,,,,,,,,,,,,gold
True,1,1,2938,2489,31,17480,5691,17,6133,UTILITY,15.583333333333334,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
False,21,5,15683,2708,27,261897,45292,208,20849,MIDDLE,41.46666666666667,,gold
True,1,2,3916,2193,8,80991,11722,140,7149,MIDDLE,21.033333333333335,,gold
True,4,4,22838,4336,19,143526,23524,164,12418,MIDDLE,33.63333333333333,,gold
True,8,6,9996,3519,21,147385,38922,194,15326,MIDDLE,38.53333333333333,,gold
True,3,3,20645,6452,21,201185,18048,215,13771,BOTTOM,36.0,,gold
False,3,9,5442,1558,21,115208,22466,142,10569,BOTTOM,37.0,,gold
False,1,3,112,112,15,77540,20263,146,7030,MIDDLE,25.75,,gold
True,4,4,10518,3411,19,92268,18333,119,9205,MIDDLE,25.966666666666665,,gold
True,8,5,21259,6430,30,203975,30807,236,15563,MIDDLE,37.6,,gold
True,5,3,21838,3749,26,185006,27382,190,13499,MIDDLE,36.95,,gold
False,3,5,12858,2199,18,195551,21742,221,13586,MIDDLE,37.15,,gold
True,6,6,3889,1081,21,94211,17532,118,11886,MIDDLE,31.45,,gold
False,4,6,147,147,11,87614,15200,137,8385,MIDDLE,21.983333333333334,,gold
True,5,2,4339,2236,18,135991,11759,168,12881,MIDDLE,34.56666666666667,,gold
False,3,10,7807,295,19,137418,27739,197,12696,MIDDLE,38.666666666666664,,gold
False,2,9,779,779,14,104488,21718,169,9773,MIDDLE,29.183333333333334,,gold
,,,,,,,,,,,,,gold
False,5,4,172,0,15,82337,15797,133,9339,MIDDLE,28.666666666666668,,gold
False,8,5,6622,0,17,91950,29167,131,12267,MIDDLE,34.65,,gold
False,0,7,1620,1620,9,69688,18408,109,6614,MIDDLE,22.316666666666666,,gold
,,,,,,,,,,,,,gold
False,6,10,4147,3962,13,156487,41310,165,11383,TOP,31.083333333333332,,gold
True,6,4,11971,8496,11,160902,32410,189,14647,TOP,35.8,,gold
True,10,7,7305,6145,6,128881,25405,162,13031,TOP,27.866666666666667,,gold
True,14,6,14207,6930,9,124130,40409,148,13431,TOP,30.933333333333334,,gold
True,1,7,27707,1436,29,257978,67052,272,17031,TOP,50.3,,gold
False,3,8,0,0,4,22273,17850,59,5691,TOP,19.85,,gold
True,7,1,11540,7592,8,84639,10961,134,9965,TOP,19.383333333333333,,gold
True,5,7,10888,4117,15,113965,27991,131,11079,TOP,28.5,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
False,1,9,2205,2205,14,113024,19741,161,7809,UTILITY,27.383333333333333,,gold
True,3,6,15404,5922,22,131965,21089,167,11661,BOTTOM,31.716666666666665,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
True,14,5,21980,16191,13,152138,23257,184,15171,TOP,26.45,,gold
False,4,8,5495,2213,28,120712,30122,171,10058,TOP,28.7,,gold
True,7,2,7345,6873,7,114702,16243,169,10841,TOP,21.5,,gold
False,1,2,1829,1829,17,83308,13398,164,7000,TOP,22.166666666666668,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
True,1,4,5907,3281,16,90726,11612,129,7808,BOTTOM,22.85,,gold
True,8,4,13095,12005,21,155367,28621,176,12649,TOP,26.466666666666665,,gold
True,6,9,13120,12763,19,189658,62213,191,15671,TOP,40.63333333333333,,gold
False,5,10,20037,2592,16,209233,34338,214,14050,BOTTOM,41.516666666666666,,gold
False,18,10,13283,5418,30,280740,33484,249,19156,BOTTOM,38.3,,gold
False,2,8,4187,3938,12,115460,19189,142,8256,BOTTOM,27.683333333333334,,gold
False,7,5,21136,1387,15,157507,22846,25,11224,JUNGLE,27.25,,gold
