win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
True,8,6,5651,1981,83,41099,38753,46,10754,UTILITY,30.816666666666666,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
False,10,3,12932,3596,26,194702,15307,186,13908,BOTTOM,31.2,,bronze
False,2,6,2298,1820,17,98078,12942,151,8083,BOTTOM,23.65,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
False,8,9,5319,0,5,68639,26549,31,8917,JUNGLE,22.716666666666665,,bronze
False,1,8,10918,0,13,123174,30316,40,8132,JUNGLE,27.416666666666668,,bronze
False,5,10,21151,453,12,152324,42277,54,11999,JUNGLE,35.016666666666666,,bronze
True,11,5,33787,1864,6,195110,33358,33,13846,JUNGLE,30.633333333333333,,bronze
True,6,3,23652,1990,10,108636,24750,23,9033,JUNGLE,22.133333333333333,,bronze
False,10,6,18215,259,13,128892,34108,36,11949,JUNGLE,28.566666666666666,,bronze
True,9,5,34327,0,13,182398,44256,23,14153,JUNGLE,34.88333333333333,,bronze
True,4,2,24596,424,13,98977,15737,7,8015,JUNGLE,19.95,,bronze
False,3,9,27844,650,10,134178,41899,25,10222,JUNGLE,30.583333333333332,,bronze
False,11,5,40093,3882,17,280245,65910,92,17187,JUNGLE,40.03333333333333,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
True,4,4,5056,5056,23,156210,28548,198,11936,TOP,32.21666666666667,,bronze
True,5,3,13018,9204,21,185056,28162,195,12613,TOP,33.63333333333333,,bronze
False,1,1,2194,0,5,41950,10658,91,4417,TOP,15.216666666666667,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
False,7,12,35508,664,26,184887,58927,30,14459,JUNGLE,39.38333333333333,,bronze
True,13,14,29921,1521,19,222155,51707,119,16174,MIDDLE,45.11666666666667,,bronze
False,4,2,4459,0,3,91746,14288,14,6639,JUNGLE,16.916666666666668,,bronze
False,5,7,25653,0,26,235670,55379,41,14181,JUNGLE,44.25,,bronze
False,15,4,15929,2901,19,216080,24983,194,16927,MIDDLE,31.916666666666668,,bronze
True,6,1,30237,2630,12,144657,21909,16,9448,JUNGLE,24.183333333333334,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
True,3,9,6139,4877,78,68618,17379,83,11546,UTILITY,32.8,,bronze
True,7,4,4865,857,38,53569,8113,56,8197,UTILITY,19.3,,bronze
True,0,6,2117,662,49,45789,11074,38,7187,UTILITY,25.183333333333334,,bronze
True,8,7,5074,1997,91,81211,19432,65,11816,UTILITY,33.666666666666664,,bronze
False,1,5,969,340,72,51028,24928,59,7697,UTILITY,29.516666666666666,,bronze
True,3,5,2542,294,105,92729,36898,105,11642,UTILITY,38.25,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
True,9,3,45646,123,36,173283,23882,7,10972,JUNGLE,24.85,,bronze
False,2,5,6052,0,27,144732,20059,4,8335,JUNGLE,25.3,,bronze
False,3,8,38539,325,21,207452,23875,17,9669,JUNGLE,27.083333333333332,,bronze
