champion,position,rank
Lillia,jungle,iron
Kayn,jungle,iron
Lillia,jungle,iron
Sejuani,jungle,iron
Trundle,jungle,iron
Sejuani,jungle,iron
Morgana,utility,iron
Morgana,utility,iron
Morgana,utility,iron
Morgana,utility,iron
Blitzcrank,utility,iron
Renata,utility,iron
Teemo,top,iron
Zyra,utility,iron
Zyra,utility,iron
Brand,utility,iron
Zyra,utility,iron
Taric,utility,iron
Braum,utility,iron
Taric,utility,iron
Taric,utility,iron
Jax,top,iron
Veigar,middle,iron
Hecarim,jungle,iron
Hecarim,jungle,iron
Hecarim,jungle,iron
Hecarim,jungle,iron
Hecarim,jungle,iron
Hecarim,jungle,iron
Hecarim,jungle,iron
Hecarim,jungle,iron
XinZhao,jungle,iron
Jhin,bottom,iron
Naafiri,middle,iron
Jhin,bottom,iron
Naafiri,middle,iron
Samira,bottom,iron
Akali,middle,iron
Akali,middle,iron
Akali,middle,iron
Naafiri,middle,iron
Akali,middle,iron
Shaco,jungle,iron
Shaco,jungle,iron
Pantheon,top,iron
Shaco,jungle,iron
Shaco,jungle,iron
Swain,utility,iron
Zyra,utility,iron
Evelynn,jungle,iron
Akali,top,iron
Gnar,top,iron
Kayle,top,iron
Camille,top,iron
Fiora,top,iron
Evelynn,jungle,iron
Vi,jungle,iron
Vi,jungle,iron
Vi,jungle,iron
Hecarim,jungle,iron
Fizz,middle,iron
Lux,middle,iron
Fizz,middle,iron
MasterYi,jungle,iron
MasterYi,jungle,iron
Garen,top,iron
Riven,top,iron
Brand,utility,iron
Graves,jungle,iron
Neeko,middle,iron
Neeko,middle,iron
Akali,top,iron
Kalista,top,iron
Aatrox,top,iron
Aatrox,top,iron
Kennen,top,iron
Camille,top,iron
Renekton,top,iron
Irelia,top,iron
Singed,top,iron
Quinn,top,iron
Sylas,jungle,iron
KSante,top,iron
Shyvana,jungle,iron
Nunu,jungle,iron
Samira,bottom,iron
Samira,bottom,iron
Ezreal,bottom,iron
Varus,bottom,iron
Amumu,jungle,iron
Nunu,jungle,iron
Brand,invalid,iron
Amumu,invalid,iron
MasterYi,jungle,iron
Nunu,invalid,iron
Yuumi,jungle,iron
Malphite,jungle,iron
Yuumi,jungle,iron
Yuumi,jungle,iron
Lux,utility,iron
Malphite,utility,iron
Malphite,utility,iron
Malphite,utility,iron
Malphite,utility,iron
Zed,middle,iron
Zed,invalid,iron
Zed,middle,iron
Zed,middle,iron
Zed,middle,iron
Zed,middle,iron
Zed,jungle,iron
Yasuo,middle,iron
Yasuo,middle,iron
Yasuo,top,iron
Zed,middle,iron
Thresh,utility,iron
Pyke,utility,iron
LeeSin,middle,iron
Ashe,middle,iron
Naafiri,middle,bronze
Jinx,bottom,bronze
Aphelios,bottom,bronze
Ezreal,bottom,bronze
Volibear,top,bronze
Jax,top,bronze
Ryze,middle,bronze
