win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,rank
True,14.0,7.0,16436.0,5614.0,30.0,195774.0,29492.0,176.0,16200.0,middle,33.61666666666667,iron
False,5.0,13.0,15131.0,8532.0,19.0,195134.0,22066.0,171.0,12966.0,bottom,31.25,iron
True,0.0,0.0,175.0,175.0,0.0,3651.0,399.0,10.0,885.0,middle,2.933333333333333,iron
True,10.0,1.0,3482.0,3191.0,13.0,88648.0,9490.0,109.0,8464.0,middle,16.65,iron
True,1.0,13.0,9670.0,7033.0,21.0,199216.0,27853.0,171.0,13406.0,middle,36.05,iron
False,1.0,4.0,0.0,0.0,1.0,50019.0,9509.0,88.0,5295.0,middle,20.766666666666666,iron
False,1.0,7.0,21486.0,2083.0,10.0,125492.0,17734.0,14.0,7544.0,jungle,19.416666666666668,iron
True,2.0,2.0,2761.0,2761.0,4.0,40297.0,6592.0,66.0,5519.0,bottom,15.616666666666667,iron
True,2.0,6.0,5314.0,5314.0,14.0,92442.0,16073.0,127.0,10048.0,bottom,30.33333333333333,iron
False,14.0,13.0,5883.0,544.0,42.0,91779.0,23786.0,68.0,13730.0,utility,29.933333333333334,iron
True,7.0,1.0,14933.0,4916.0,15.0,120858.0,21186.0,154.0,11194.0,bottom,29.15,iron
True,5.0,6.0,18819.0,4571.0,18.0,122369.0,27011.0,122.0,12174.0,bottom,34.38333333333333,iron
False,8.0,11.0,2351.0,1536.0,29.0,56676.0,21848.0,48.0,11512.0,utility,32.88333333333333,iron
False,1.0,5.0,0.0,0.0,10.0,29187.0,7936.0,34.0,5896.0,bottom,31.066666666666663,iron
False,0.0,5.0,61.0,0.0,12.0,76725.0,17700.0,119.0,7347.0,bottom,31.366666666666667,iron
False,9.0,9.0,2227.0,2227.0,23.0,105240.0,26155.0,133.0,12691.0,bottom,35.733333333333334,iron
True,9.0,23.0,2409.0,2409.0,8.0,111959.0,43900.0,82.0,14375.0,middle,47.68333333333333,iron
False,1.0,13.0,14428.0,0.0,11.0,167809.0,32621.0,9.0,8982.0,jungle,29.08333333333333,iron
False,2.0,5.0,1590.0,1590.0,20.0,65942.0,11547.0,97.0,6416.0,bottom,22.433333333333334,iron
True,8.0,8.0,6759.0,1188.0,40.0,61268.0,22318.0,66.0,9904.0,bottom,29.633333333333333,iron
False,3.0,6.0,19110.0,2919.0,44.0,200367.0,31740.0,60.0,11462.0,jungle,33.63333333333333,iron
False,4.0,8.0,1848.0,1659.0,22.0,109878.0,18393.0,131.0,10383.0,bottom,30.95,iron
False,2.0,3.0,1588.0,935.0,10.0,29313.0,8799.0,63.0,5246.0,bottom,18.016666666666666,iron
False,3.0,8.0,1717.0,1258.0,27.0,61899.0,15220.0,69.0,8009.0,bottom,23.016666666666666,iron
False,7.0,8.0,2419.0,260.0,20.0,90275.0,20154.0,113.0,10466.0,bottom,26.566666666666663,iron
True,5.0,7.0,2885.0,954.0,66.0,79057.0,28126.0,75.0,11293.0,utility,33.1,iron
False,12.0,7.0,21517.0,10638.0,1.0,165916.0,23041.0,176.0,15856.0,bottom,33.36666666666667,iron
True,15.0,1.0,5089.0,3832.0,7.0,136164.0,12827.0,144.0,12722.0,top,24.633333333333333,iron
False,5.0,9.0,11977.0,4460.0,20.0,177072.0,27621.0,204.0,13909.0,bottom,39.95,iron
True,13.0,7.0,7062.0,1716.0,17.0,266181.0,26118.0,240.0,17985.0,bottom,39.98333333333333,iron
False,2.0,9.0,387.0,0.0,13.0,117877.0,19377.0,147.0,8317.0,bottom,29.366666666666667,iron
True,5.0,2.0,7639.0,3118.0,12.0,56371.0,5780.0,108.0,7145.0,bottom,15.95,iron
False,3.0,16.0,2695.0,82.0,18.0,201160.0,65916.0,198.0,14122.0,middle,58.06666666666667,iron
False,0.0,4.0,2883.0,0.0,3.0,62644.0,12104.0,8.0,4252.0,jungle,15.266666666666667,iron
False,1.0,8.0,6051.0,718.0,5.0,105626.0,20634.0,118.0,7543.0,bottom,28.58333333333333,iron
False,13.0,6.0,2849.0,2447.0,14.0,198476.0,28806.0,228.0,15516.0,bottom,35.2,iron
False,3.0,9.0,3221.0,0.0,20.0,106579.0,29443.0,10.0,8489.0,jungle,29.366666666666667,iron
True,9.0,5.0,14116.0,0.0,39.0,187395.0,32893.0,22.0,13405.0,jungle,35.1,iron
True,6.0,3.0,25750.0,3132.0,24.0,215173.0,32538.0,32.0,14216.0,jungle,34.483333333333334,iron
False,4.0,8.0,26918.0,489.0,29.0,186966.0,42973.0,20.0,13237.0,jungle,38.43333333333333,iron
False,3.0,6.0,3679.0,1019.0,18.0,82184.0,37872.0,104.0,8553.0,top,30.33333333333333,iron
False,0.0,8.0,10264.0,8213.0,26.0,159762.0,31658.0,205.0,10743.0,top,33.06666666666667,iron
False,3.0,4.0,8248.0,5000.0,28.0,118725.0,20902.0,167.0,9804.0,top,27.383333333333333,iron
False,3.0,4.0,1690.0,252.0,15.0,46622.0,7891.0,94.0,5615.0,top,17.566666666666666,iron
True,2.0,3.0,27276.0,1197.0,30.0,182636.0,31843.0,21.0,12578.0,jungle,37.66666666666666,iron
False,10.0,6.0,15746.0,2741.0,14.0,152972.0,27438.0,48.0,10998.0,jungle,24.633333333333333,iron
False,4.0,5.0,1575.0,0.0,16.0,129547.0,29875.0,30.0,9117.0,jungle,24.55,iron
True,6.0,3.0,32603.0,2370.0,18.0,313683.0,20305.0,45.0,14048.0,jungle,33.71666666666667,iron
True,18.0,9.0,44289.0,1251.0,6.0,194975.0,55010.0,24.0,18099.0,jungle,37.65,iron
False,7.0,9.0,10748.0,0.0,11.0,165460.0,39066.0,24.0,11391.0,jungle,32.96666666666667,iron
True,13.0,3.0,53165.0,2632.0,10.0,232665.0,41586.0,34.0,17768.0,jungle,38.516666666666666,iron
